OFPST_FLOW reply (OF1.3) (xid=0x2):
 cookie=0x8000000, duration=235.254s, table=0, n_packets=237, n_bytes=24237, priority=4,in_port=2,vlan_tci=0x0000/0x1fff actions=write_metadata:0x10000000000/0xffffff0000000001,goto_table:17
 cookie=0x8000000, duration=234.432s, table=0, n_packets=94, n_bytes=10434, priority=4,in_port=1,vlan_tci=0x0000/0x1fff actions=write_metadata:0x30000000001/0xffffff0000000001,goto_table:17
 cookie=0x8000000, duration=234.394s, table=0, n_packets=360, n_bytes=35472, priority=10,in_port=1,dl_vlan=1235 actions=pop_vlan,write_metadata:0x20000000001/0xffffff0000000001,goto_table:17
 cookie=0x8000000, duration=230.969s, table=0, n_packets=237, n_bytes=24239, priority=4,in_port=3,vlan_tci=0x0000/0x1fff actions=write_metadata:0x40000000000/0xffffff0000000001,goto_table:17
 cookie=0x8000001, duration=189.493s, table=0, n_packets=494, n_bytes=41194, priority=5,in_port=4 actions=write_metadata:0xe0000000001/0xfffff0000000001,goto_table:36
 cookie=0x8000001, duration=185.987s, table=0, n_packets=371, n_bytes=29567, priority=5,in_port=5 actions=write_metadata:0x120000000001/0xfffff0000000001,goto_table:36
 cookie=0x8040000, duration=234.275s, table=17, n_packets=234, n_bytes=23979, priority=10,metadata=0x10000000000/0xffffff0000000000 actions=load:0x1->NXM_NX_REG1[0..19],load:0x138a->NXM_NX_REG7[0..15],write_metadata:0xa00001138a000000/0xfffffffffffffffe,goto_table:48
 cookie=0x8040000, duration=233.993s, table=17, n_packets=360, n_bytes=35472, priority=10,metadata=0x20000000000/0xffffff0000000000 actions=load:0x2->NXM_NX_REG1[0..19],load:0x138a->NXM_NX_REG7[0..15],write_metadata:0xa00002138a000000/0xfffffffffffffffe,goto_table:48
 cookie=0x8040000, duration=230.023s, table=17, n_packets=235, n_bytes=24059, priority=10,metadata=0x40000000000/0xffffff0000000000 actions=load:0x4->NXM_NX_REG1[0..19],load:0x138b->NXM_NX_REG7[0..15],write_metadata:0xa00004138b000000/0xfffffffffffffffe,goto_table:48
 cookie=0x8000000, duration=892.612s, table=17, n_packets=0, n_bytes=0, priority=0,metadata=0x8000000000000000/0xf000000000000000 actions=write_metadata:0x9000000000000000/0xf000000000000000,goto_table:80
 cookie=0x6800000, duration=892.612s, table=18, n_packets=0, n_bytes=0, priority=0 actions=goto_table:38
 cookie=0x1080000, duration=892.305s, table=19, n_packets=0, n_bytes=0, priority=100,arp,arp_op=1 actions=group:5000
 cookie=0x1080000, duration=892.305s, table=19, n_packets=0, n_bytes=0, priority=100,arp,arp_op=2 actions=CONTROLLER:65535,resubmit(,17)
 cookie=0x1080000, duration=892.305s, table=19, n_packets=0, n_bytes=0, priority=0 actions=resubmit(,17)
 cookie=0x1030000, duration=892.305s, table=20, n_packets=0, n_bytes=0, priority=0 actions=goto_table:80
 cookie=0x8000004, duration=892.305s, table=22, n_packets=0, n_bytes=0, priority=0 actions=CONTROLLER:65535
 cookie=0x1080000, duration=892.305s, table=23, n_packets=0, n_bytes=0, priority=0 actions=resubmit(,17)
 cookie=0x900138b, duration=230.032s, table=36, n_packets=361, n_bytes=34122, priority=5,tun_id=0x29 actions=write_metadata:0x138b000000/0xfffffffff000000,goto_table:51
 cookie=0x905138b, duration=230.963s, table=38, n_packets=0, n_bytes=0, priority=5,tun_id=0x29 actions=write_metadata:0x138b000000/0xfffffffff000000,goto_table:51
 cookie=0x4000000, duration=892.612s, table=45, n_packets=0, n_bytes=0, priority=0 actions=resubmit(,17)
 cookie=0x8500000, duration=892.612s, table=48, n_packets=829, n_bytes=83510, priority=0 actions=resubmit(,49),resubmit(,50)
 cookie=0x805138a, duration=234.282s, table=50, n_packets=234, n_bytes=23979, priority=20,metadata=0x1138a000000/0xfffffffff000000,dl_src=fa:16:3e:45:bb:7e actions=goto_table:51
